id,center,image_date,image_value,type,mean_image_value,min_image_value,max_image_value
water_22,"[-10.995453993464041, 7.890238578863123]",2022-02-01,0.2777352470672773,water,0.21475538206115674,-0.4684419462429532,0.8979527103652667
water_23,"[-12.468691059386448, 7.8093902033019535]",2022-02-01,0.230188829581229,water,0.19532008482268426,-0.4878772434814257,0.8785174131267942
water_24,"[-12.441741600869154, 7.773457591919722]",2022-02-01,0.2667884247732731,water,0.21401215072809535,-0.46918517757601463,0.8972094790322053
water_25,"[-12.405808989535196, 7.76447443908566]",2022-02-01,0.6025088858188142,water,0.5812150090878231,-0.10198231921628687,1.2644123373919331
water_26,"[-11.911735583261247, 7.737524980562998]",2022-02-01,0.5698133225728275,water,0.269893368890463,-0.41330395941364695,0.953090697194573
water_27,"[-12.423775295221285, 7.728541827713449]",2022-02-01,0.2744619943356221,water,0.20761165822125419,-0.4755856700828558,0.8908089865253641
water_28,"[-12.396825836693882, 7.719558674878638]",2022-02-01,0.3075880156152015,water,0.2322456163354446,-0.45095171196866535,0.9154429446395546
water_29,"[-12.306994308285407, 7.656676604990729]",2022-02-01,1.3202174865967005,water,0.8726942616821226,0.18949693337801266,1.5558915899862327
water_30,"[-13.043612841263386, 7.647693452148886]",2022-02-01,0.2321722559349587,water,0.1857879604677862,-0.4974093678363237,0.8689852887718962
water_31,"[-12.684286727620973, 7.638710299305395]",2022-02-01,0.2809866303181525,water,0.1948990192492757,-0.4882983090548343,0.8780963475533856
water_32,"[-12.630387810576774, 7.638710299317635]",2022-02-01,0.2684406510769108,water,0.1917318237327134,-0.49146550457139654,0.8749291520368234
water_33,"[-12.001567111681483, 7.620743993632853]",2022-02-01,0.3127104774844593,water,0.20869620378345735,-0.47450112452065263,0.8918935320875673
water_34,"[-12.558522587852336, 7.6117608407887]",2022-02-01,0.2852532500064623,water,0.20210175892366652,-0.4810955693804434,0.8852990872277765
water_35,"[-12.603438352042737, 7.602777687946637]",2022-02-01,0.2576648152815273,water,0.1995126147376907,-0.4836847135664193,0.8827099430418006
water_36,"[-12.531573129311692, 7.602777687945088]",2022-02-01,0.2392536021858641,water,0.1992728804885228,-0.4839244478155872,0.8824702087926327
water_37,"[-12.522589976472553, 7.557861923742937]",2022-02-01,0.2721508759865055,water,0.20292094029810034,-0.4802763880060096,0.8861182686022103
water_38,"[-12.387842683862766, 7.530912465216971]",2022-02-01,0.2386634176926217,water,0.20245845438759327,-0.4807388739165167,0.8856557826917032
water_39,"[-12.477674212277792, 7.521929312366954]",2022-02-01,0.2741716511362515,water,0.2176422183833806,-0.46555510992072935,0.9008395466874906
water_40,"[-12.567505740686972, 7.432097783962978]",2022-02-01,0.2586778930376245,water,0.1908332673538096,-0.4923640609503004,0.8740305956579195
water_41,"[-12.43275844807948, 7.4141314782702015]",2022-02-01,0.2507118335020581,water,0.214428328090556,-0.46876900021355394,0.897625656394666
water_42,"[-12.3339437668326, 7.378198866912815]",2022-02-01,0.2668899637016337,water,0.20387647832570863,-0.4793208499784013,0.8870738066298186
water_43,"[-12.208179627045473, 7.360232561241698]",2022-02-01,0.2678185612526633,water,0.21359162535082593,-0.469605702953284,0.8967889536549358
water_44,"[-12.019533417392697, 7.252434727128357]",2022-02-01,0.2648996747892419,water,0.21176942462855133,-0.47142790367555865,0.8949667529326613
water_45,"[-11.723089373642267, 7.189552657250459]",2022-02-01,0.2880932969180167,water,0.19667002367319952,-0.48652730463091043,0.8798673519773095
water_46,"[-11.723089373635066, 7.180569504401877]",2022-02-01,0.3025050317216715,water,0.195284167326025,-0.48791316097808496,0.878481495630135
